Sample	SDW	RDW	NDW.SDW.ratio	NN	NDW	SDWi.SDWf	RDWi.RDWf	nNDW	NDW.RDW.ratio
1985-11F	15.28	3.98	3.84	187	0.46	NA	NA	13.03	3.01
1951-1F	11.59	4.94	2.35	258	0.54	0.96	0.85	12.35	4.69
1989-1F	10.57	4.53	2.33	182	0.52	1.23	0.35	12.97	4.92
1895-33F	8.32	4.07	2.04	280	0.57	0.8	0.62	16.13	6.79
1910-6F	5.04	2.24	2.25	267	0.33	0.79	0.84	17.32	6.57
1989-17F	7.95	3.48	2.29	189	0.38	0.92	0.97	12.34	4.81
1925-1F	10.23	3.8	2.69	255	0.49	1.07	0.46	14.73	4.76
1987-40F	10.53	6.21	1.69	354	0.56	0.89	1.35	9.94	5.33
1984-17F	5.55	2.3	2.41	183	0.38	0.44	0.39	19.49	6.78
1895-50F	8.16	2.8	2.92	224	0.41	0.76	0.73	17.06	4.99
1988-1F	11.67	5.67	2.06	321	0.6	0.78	0.24	11.92	5.18
1988-28F	8.73	3.31	2.64	211	0.3	0.84	0.75	10.02	3.45
1844-4E	8.24	3.69	2.23	165	0.4	0.95	0.55	12.31	4.91
1910-5F	10.55	3.56	2.97	186	0.5	0.78	0.73	16.29	4.72
1937-1F	11.88	3.93	3.02	149	0.4	0.65	0.44	11.3	3.36
1985-2F	10.23	2.91	3.51	259	0.39	1.1	0.83	15.25	3.77
1989-26F	13.23	4.5	2.94	350	0.6	0.91	0.74	15.52	4.57
1876-4E	5.51	2.76	2	285	0.33	0.52	0.64	13.38	5.91
1990-68F	6.84	2.85	2.4	305	0.35	0.61	0.35	14.14	5.16
1989-28F	8.68	3.55	2.44	298	0.35	0.91	0.73	11.03	4.06
1955-4F	6.82	3	2.27	201	0.35	0.73	0.33	13.31	5.18
1976-1F	10.28	3.85	2.67	299	0.4	1.02	1.09	11.61	3.89
1880-3F	7.41	3.41	2.17	176	0.32	0.86	0.86	10.2	4.27
1989-11F	10.67	3.94	2.71	442	0.52	1.05	0.47	15.35	4.92
